둥글레
전복
팽이버섯
기침약
녹찻잎
밀가루
칡
파
청어
해삼
바지락
버터
선짓국
통밀
단호박
마가루
석류껍질
아몬드
붕어
식초
삼계탕
꿀
대추
달팽이요리
염교
사과식초
들깻잎
열무
초두
생선찌개
어류
레몬즙
해장국
다래
연꽃잎
석류
고추냉이
현미식초
들깨즙
조기
율무식초
물
자몽주스
무화과
적포도주(와인)
조
두충
기름
우거지
숙지황
감
보리
율무
붉은살생선
무말랭이
커피
얼음설탕
토마토
골다골증약
참외
콩기름
두유
녹용
돼지콩팥
파인애플
깻잎
청주
살구
생선초밥
쇠고기(소고기)
멥쌀
마르가리타
식사
생굴
도토리
감귤
콩죽
재첩
홍어
변비약
음양곽
우렁이
올리브유(올리브오일)
고추
질경이
팥
검은콩
호박
찐빵
햄
중국요리
크림
닭
국수
코코아
강황
천마
당밀
옥수수
식물성기름
냉이
소금
돼지염통
수정과
죽순
약식
튀김
숭어
황기
복어
생선
복숭아
고등어
계란(달걀)
새우젓
새알심
산초
설렁탕
쌀겨
메밀
쑥갓
사탕수수
고량주
자라
토사자
고혈압약
사탕무
돼지기름
피망
오미자
깍두기
홍차
뱀장어
찻잎
박
자몽
떡
바닐라
두부
잡채
과일
흰설탕
엿기름
카페인
검은깨
대구
닭간
도라지
토란
땅콩
모과
감자
강낭콩
추어탕
젓갈
콩나물
블루베리
콩국
오징어
양고기
김
녹차
햄버거
시리얼
탄산음료
담배
자두
연근
고지혈증약
파파야
식용유
food2
구기자술
스테이크
프림
조개
파프리카
냉면
마요네즈
당근
대구포
소주
쭈꾸미
밀
해조류
과일주
파슬리
김치
콩나물 해장국
미나리
고기요리
생지황
스파게티
국화
차조
생후추
갓
팥죽
귤껍질
구기자
무
차
오렌지
아스피린
소다
오리고기
셀러리
감초
가자미
치커리
무청
견과류
파르메산치즈
솔잎
사과
항생제
차조기
오이
새우
밥
완두콩
소고기
치자
후추
배
빈혈약
양상추
밤
쌀
상황버섯
레몬
메주콩
우유
간
미꾸라지
돼지고기
족발
옥수수수염
부추
수박
둥굴레
문어
브로콜리
동충하초
소나무순
명란
메추리
염소고기
로열젤리
고사리
모과차
흑임자
맥문동
소시지
풋고추
달래
콜라
수박껍질
카레
참치
순대국
뱅어
진통제
초장
메기
된장
피임약
아스파라거스
병어
알러지약
생동쌀
겨자
요구르트
한약
메추라기
해파리
곶감
치킨
연어
찹쌀
양배추
홍합
결명자
양파
들깨
감기약
육류
유자
좁쌀
치즈
바나나
마
녹즙
오렌지주스
인삼
계피
가지
잣
키위
쌀뜨물
팥소
갈치
고기
미역
더덕
굴
포도주
생크림
기름소금
귤
막걸리
프로폴리스
조개탕
콩
칡뿌리
쑥
돼지족
벌꿀
북어
산수유
보신탕
food1
장어
청국장
뽕잎
라면 
옻닭
넙치
마늘
순무
은행
우동다시
현미
배추
목이버섯
참기름
항응고제
조개 해장국
수삼
산사자
고구마
산딸기
박하(민트)
멸치
닭고기
신 음료
생강
삼겹살
딸기
포도
두릅
고추장
와인
아욱
다시마
소철
참깨
호두
설탕
달팽이
과메기
생선회
완두
불고기
시금치
수수
맥주
낙지
된장국
까치콩
파래
당귀
게
육회
잉어
백포도주
표고버섯
녹두
살구씨
초콜릿
술
상추
멜론
머루
해열제
콩비지
아보카도
꽁치
옻
인절미
오가피
머위
버섯
가쓰오부시
우엉
들기름
매실
생강즙
도토리묵
빵
