가식부 100g 당 (Per 100g Edible Portion),일반성분 Proximates,,,,무기질 Minerals,,,,,,,
식품명,칼로리,단백질,지방,"탄수
화물",칼슘,나트륨,철,인,칼륨,비타민 B1,비타민 B2,비타민 C
,kcal,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,,,,,,,,
식품명,Energy,Protein,Fat,Carbohydrate,Calcium,Sodium,Iron,P,K,VitaminB1,VitaminB2,VitaminC
"돼지고기, 갈비(갈비살), 생것",202,18.7,13.59,0,8,50,0.7,164,293,0.439,0.022,1.2
"돼지고기, 갈비, 구운것(팬)",265,24.83,17.59,0,9,79,0.94,229,360,0.631,0.097,0
"돼지고기, 갈비, 삶은것",289,26.51,19.54,0,13,45,1.09,151,166,0.245,0.103,0.7
"돼지고기, 갈비, 생것",230,17.77,17.06,0,9,64,0.73,185,287,0.61,0.176,0.87
"돼지고기, 뒷다리(도가니살), 생것",129,21.29,4.23,0,5,46,0.64,188,348,0.582,0.029,1.07
"돼지고기, 뒷다리(뒷사태살), 생것",134,20.51,5.11,0,5,48,1,171,315,0.461,0.105,1.48
"돼지고기, 뒷다리(보섭살), 생것",137,21.13,5.14,0,5,45,0.73,195,344,0.571,0.111,1.06
"돼지고기, 뒷다리(볼기살), 생것",132,20.79,4.81,0,5,51,0.61,201,349,0.972,0.012,0.94
"돼지고기, 뒷다리(설깃살), 생것",138,20.9,5.39,0,4,49,0.52,184,334,0.6,0.103,1
"돼지고기, 뒷다리(홍두깨살), 생것",135,20.03,5.44,0,4,43,0.87,180,337,0.58,0.066,1.48
"돼지고기, 뒷다리, 구운것(팬)",210,30.21,8.93,0,7,63,0.96,299,450,1.1,0.263,1.35
"돼지고기, 뒷다리, 삶은것",209,30.63,8.7,0,7,42,1.01,202,271,0.692,0.151,0.41
"돼지고기, 뒷다리, 생것",121,21.3,3.34,0,3,57,0.74,216,374,0.377,0.349,0.31
"돼지고기, 등심(등심덧살), 생것",199,17.51,13.74,0,7,52,0.73,167,300,0.465,0.144,1.7
"돼지고기, 등심(알등심살), 생것",144,22.9,5.13,0,5,45,0.46,225,395,1.069,0.108,0.96
"돼지고기, 등심, 구운것(팬)",184,32.06,5.18,0,6,49,0.54,273,412,0.821,0.096,1.16
"돼지고기, 등심, 삶은것",203,35.08,5.94,0,7,28,0.63,200,233,0.565,0.36,0.71
"돼지고기, 등심, 생것",135,24.03,3.6,0,4,39,0.38,222,354,0.273,0.179,0.52
"돼지고기, 목심(목심살), 구운것(팬)",258,24.06,17.23,0,7,65,1.06,250,436,0.65,0.374,0.9
"돼지고기, 목심(목심살), 삶은것",276,25.43,18.56,0,10,42,1.15,179,248,0.571,0.319,0.53
"돼지고기, 목심(목심살), 생것",221,17.21,16.36,0,8,51,0.73,183,301,0.66,0.293,0
"돼지고기, 사태, 구운것(팬)",209,28.47,9.74,0,8,99,1.2,255,412,0.715,0.391,0.89
"돼지고기, 사태, 삶은것",201,29.14,8.46,0,14,54,1.21,178,244,0.559,0.298,0.48
"돼지고기, 사태, 생것",154,19.78,7.72,0,10,71,0.83,178,289,0.522,0.301,0.38
"돼지고기, 살코기, 생것",186,19.78,11.25,0,6,49,0.65,183,325,0.662,0.092,1.12
"돼지고기, 삼겹살(갈매기살), 생것",186,17.92,12.16,0,6,56,1.58,184,307,0.566,0.234,1.95
"돼지고기, 삼겹살(등갈비), 생것",231,17.88,17.19,0,18,52,0.71,179,297,0.374,0.118,1.63
"돼지고기, 삼겹살(삼겹살), 구운것(팬)",469,22.78,41.2,0,14,80,0.68,256,381,0.727,0.578,0.62
"돼지고기, 삼겹살(삼겹살), 삶은것",414,19.58,36.64,0,7,40,0.58,140,173,0.43,0.264,0.32
"돼지고기, 삼겹살(삼겹살), 생것",379,13.27,35.7,0,6,55,0.42,143,231,0.489,0.163,0.44
"돼지고기, 삼겹살(오돌삼겹), 생것",316,17.12,26.89,0,24,102,0.68,144,241,0.346,0.13,1.52
"돼지고기, 삼겹살(토시살), 생것",140,20.46,5.82,0,7,59,1.82,192,323,0.674,0.472,0.09
"돼지고기, 안심(안심살), 구운것(팬)",172,30.23,4.76,0,5,57,1.03,277,479,1.098,0.376,0.63
"돼지고기, 안심(안심살), 삶은것",177,32.32,4.31,0,5,37,1.33,217,289,0.855,0.35,0.31
"돼지고기, 안심(안심살), 생것",123,22.21,3.15,0,3,46,0.78,211,373,0.868,0.298,0.26
"돼지고기, 앞다리(꾸리살), 생것",134,18.84,5.91,0,5,48,0.92,175,328,0.634,0.076,1.47
"돼지고기, 앞다리(부채살), 생것",151,20.09,7.18,0,7,54,0.83,181,330,0.427,0.179,1.64
"돼지고기, 앞다리(앞다리살), 생것",159,20.56,7.92,0,5,50,0.69,181,327,0.522,0.109,1.08
"돼지고기, 앞다리(앞사태살), 생것",131,20.82,4.68,0,5,62,0.99,173,318,0.771,0.095,1.59
"돼지고기, 앞다리(주걱살), 생것",143,20.49,6.13,0,4,41,0.68,209,371,0.591,0.178,1.27
"돼지고기, 앞다리(항정살), 생것",298,17.98,24.52,0,4,50,0.39,152,282,0.247,0.081,1.29
돼지기름,941,0,100,0,0,0,0,0,0,0,0,0
"돼지불고기, 생것",132,14.1,6.9,2.4,16,330,1,146,253,0.33,0.15,3
"된장, 개량",137,11.1,3.7,15,81,4991,7,142,525,0.76,0.32,0
"된장, 개량, 찌개용",173,12.5,5.59,18.5,92,4206,2.17,195,609,0.763,0.132,4.2
"된장, 보리",164,10.9,2.1,25.3,39,0,1.2,233,434,0.15,0.25,12
"된장, 일식(미소)",187,11.71,6.03,21.84,71,4616,1.44,174,484,0.163,0.258,0
"된장, 재래",193,13.73,7.25,18.94,79,4339,2.07,218,539,0.588,0.837,11.2
된장찌개,37,2.9,1.3,3.4,38,505,4.9,49,125,0.07,0.13,0
"두릅, 데친것",32,3.49,0.28,5.81,67,2,1.27,96,391,0.025,0.126,2.52
"두릅, 땅두릅, 데친것",24,2.3,0.25,4.56,73,2,1.57,67,370,0.029,0.147,3.98
"두릅, 땅두릅, 생것",25,2.4,0.22,4.79,80,2,8,67,456,0.01,0.261,9.83
"두릅, 땅두릅, 잎, 데친것",61,6.3,0.8,10.8,221,27,2.5,75,235,0.22,0.35,14
"두릅, 땅두릅, 잎, 생것",43,4.3,0.3,8.5,140,22,1.9,66,172,0.25,0.46,47
"두릅, 땅두릅, 줄기, 데친것",16,1.5,0.1,3.3,55,3,0.8,26,196,0.11,0.12,4
"두릅, 땅두릅, 줄기, 생것",17,1.6,0.2,3.1,36,29,1.1,34,264,0.16,0.31,4
"두릅, 생것",33,4.13,0.22,5.89,48,1,1.68,123,547,0.263,0.358,23.74
"두릅, 잎, 데친것",41,5.53,0.51,6.44,40,2,1.34,144,395,0.013,0.345,6.97
"두릅, 잎, 생것",46,6.69,0.46,7.32,40,2,2.34,184,577,0.079,0.443,6.11
"두릅, 줄기, 데친것",28,2.81,0.28,5.24,33,1,0.45,93,423,0.01,0.251,0.55
"두릅, 줄기, 생것",33,3.56,0.24,6.12,44,1,0.79,106,519,0.021,0.293,2.31
"두리안, 생것",133,2.3,3.3,27.1,5,0,0.3,36,510,0.33,0.2,31
두부,97,9.62,4.63,3.75,64,1,1.54,158,132,0.032,0.179,0
"두부, 동두부, 동결건조",536,50.5,34.1,4.2,630,440,7.5,820,34,0.02,0.02,0
"두부, 순두부",42,6.85,1.35,0.69,15,4,0.7,69,176,0.282,0.022,0
"두부, 연두부",50,4.66,2.51,1.93,30,55,0.8,72,160,0.377,0.069,0.03
"두부, 유부",450,26.11,34.23,7.93,584,7,4.6,413,128,0.171,0.05,0.16
"두유, 검은콩",86,3.21,3.77,9.87,23,77,0.42,57,178,0.061,0.019,0.15
"두유, 검은콩, 검은참깨",77,3.4,3.15,8.76,119,65,0.52,59,184,0.023,0.018,0.34
"두유, 대두",62,3.01,3.92,3.42,80,72,0.56,45,152,0.058,0.058,9.79
"두유, 콩국물, 소금 0.3%",57,4.84,2.57,3.74,27,155,0.62,80,240,0.011,0.039,0.02
"두충차, 가루 ",354,14.3,3.8,67.9,407,31,13.8,195,1313,0.17,0.59,12
"둑중개, 삶은것",122,15.8,5.8,0.2,630,90,2.6,440,210,0.06,0.3,0
"둑중개, 생것",103,15,4.2,0.2,520,260,2.8,400,180,0.07,0.38,1
"둑중개, 조린것",302,29.4,5.5,33.8,880,1700,5.8,670,460,0.07,0.48,0
"둥글레, 잎, 말린것",289,16.5,0.9,67.7,572,7,59.9,199,264,0.46,1.41,32
"둥글레, 잎, 생것",52,3.4,0.2,11.7,58,9,8.9,47,362,0.11,0.05,2
"둥글레차, 추출",1,0,0.01,0.27,1,0,0.02,0,5,0,0.035,0.52
"둥글레차, 티백",372,7.3,1.08,83.19,180,10,13.77,178,537,0.155,1.405,0
드라이진,284,0,0,0.1,0,0,0,0,0,0,0,0
"드렁허리, 생것",92,17.9,1.7,0,72,0,1.4,136,0,0.38,0.29,1
들기름,920,0,99.86,0,75,12,5.38,171,90,0,0.062,0
"들깨, 말린것",530,22.68,39.74,29.26,391,1,7.74,716,583,0.353,0.759,0
"들깨, 볶은것",532,23.59,36.23,35.53,416,5,7.5,726,599,0.528,0.311,0
"들깨, 싹, 생것",17,1.7,0.1,2.5,29,0,7.8,62,0,0.04,0.19,7
"들깻잎, 데친것",32,3.93,0.6,4.8,226,1,1.39,72,196,0.045,0.161,0.13
"들깻잎, 생것",47,4.46,0.5,8.89,296,1,1.91,83,421,0.329,0.508,2.73
"들깻잎, 찐것",37,4.37,0.55,6.07,265,1,2.42,77,411,0.138,0.421,1.05
들깻잎장아찌,124,4.03,0.42,26,178,1809,2.34,53,285,0.099,0.221,12.74
"들깻잎장아찌, 통조림",76,4.7,1.7,10.4,166,1679,4,42,166,0.09,0.15,0
"등가시치, 생것",80,18.5,0.1,0,24,0,0.4,193,0,0.06,0.13,1
"딸기, 개량종, 생것",36,0.8,0.2,8.9,7,13,0.4,30,167,0.03,0.02,71
"딸기, 말린것",302,0.5,0.2,82.8,140,260,0.4,9,15,0,0,0
"딸기, 설향, 생것",34,0.7,0.07,8.5,17,0,0.33,30,153,0.081,0.062,67.11
"딸기, 재래종, 생것",29,0.8,0.1,7.2,13,2,0.4,27,156,0.02,0.02,82
"딸기, 잼",303,0.56,0.11,75.05,17,1,0.22,20,140,0.07,0.17,20.32
땅콩 버터,658,25.8,51.91,18.9,57,370,1.85,357,558,0.011,0.567,0
"땅콩 버터, 청크",589,24.06,49.94,21.57,45,486,1.9,319,745,0.106,0.111,0
"땅콩 버터, 크림",598,22.21,51.36,22.31,49,426,1.74,335,558,0.15,0.192,0
"땅콩, 가루",560,28.43,43.11,24.62,48,4,2.04,517,879,0.765,0.34,0
"땅콩, 검정땅콩, 말린것",574,19.3,47.7,26.5,75,6,0.7,591,816,1.83,0.36,1
"땅콩, 대립종, 말린것",571,26.1,49.1,17.1,78,16,2.1,359,904,0.8,0.13,0
"땅콩, 말린것",520,25.74,42.57,18.36,67,5,3.07,425,746,0.389,0.212,0
"땅콩, 볶은것",567,28.5,46.24,19.91,67,4,2.01,476,799,0.085,0.207,0
"땅콩, 삶은것, 소금첨가",318,13.5,22.01,21.26,55,751,1.01,198,180,0.259,0.063,0
"땅콩, 소립종, 말린것",564,22.4,46.3,24.2,43,3,3.2,300,616,1.54,0.12,0
"땅콩, 조미, 볶은것",558,26.54,43.59,24.92,51,261,1.5,475,751,0.131,0.23,0
"땅콩, 중립종, 말린것",549,20.3,43,29.1,24,2,2.8,344,808,2.04,0.07,0
땅콩기름,884,0,100,0,0,0,0.03,0,0,0,0,0
"때죽, 말린것",551,13.6,44.7,31.8,9,0,1.6,135,0,0.16,0.06,0
떡만둣국,89,2.9,1.6,15.8,14,283,3,36,53,0.09,0.15,0
떡볶이,151,3.8,1.7,30.2,20,427,4.4,46,101,0.15,0.14,0
"뜸부기, 말린것",128,6.1,2.5,52.1,1090,0,23.9,119,0,0.04,0.16,6
라면 스프,246,17.4,3.1,37.2,34,21194,2.6,164,525,1.15,0.36,0
"라면, 국물, 조리후",19,0.44,0.96,2.03,5,380,0.08,10,56,0.068,0.125,0
"라면, 말린것",445,8.23,14.28,69.05,226,437,0.44,99,212,0.077,1.119,0.71
"라면, 말린것, 삶은것",175,3.61,4.17,29.65,97,104,0.42,40,44,0.021,0.277,0
"라면, 면, 조리후",174,3.89,4.37,29.78,97,278,0.21,47,55,0.056,0.372,0
"라면, 비빔라면, 끓인것",189,3.38,5.67,31.01,8,375,0.33,38,47,0.136,0.024,0
"라면, 조리전",369,8.59,11.47,69.44,186,1338,0.54,104,272,0.105,0.715,0
"라면, 조리후",101,2.2,2,18.5,48,388,0.2,26,70,0.12,0.22,0
"라벤다, 말린것",330,12.6,8.7,63.3,871,35,17.3,246,2530,0.62,1.52,102
"라임 주스, 천연과즙",25,0.42,0.07,8.42,14,2,0.09,14,117,0.025,0.015,30
"라임 주스, 캔",21,0.25,0.23,6.69,12,16,0.23,10,75,0.033,0.003,6.4
"라임, 생것",30,0.7,0.2,10.54,33,2,0.6,18,102,0.03,0.02,29.1
라조기,199,10.3,11.7,13.1,36,324,10.9,107,160,0.04,0.22,0
"라즈베리, 냉동",52,1.2,0.65,11.94,25,1,0.69,29,151,0.032,0.038,26.2
"라즈베리, 생것",52,1.2,0.65,11.94,25,1,0.69,29,151,0.032,0.038,26.2
"람부탄, 통조림",82,0.65,0.21,20.87,22,11,0.35,9,42,0.013,0.022,4.9
럼,240,0,0,0.1,0,3,0,0,0,0,0,0
레모네이드,38,0,0,9.56,0,1,0,1,12,0,0,3.46
레몬 과즙,26,0.4,0.2,8.6,7,2,0.1,9,100,0.04,0.02,50
"레몬, 생것",28,0.71,0.08,9.3,32,2,0.1,22,122,0.058,0.064,52.07
"레몬그라스(시트로넬라), 생것",99,1.82,0.49,25.31,65,6,8.17,101,723,0.065,0.135,2.6
"렌즈콩(렌틸콩), 인도산, 갈색, 말린것",359,21.01,1.43,65.42,72,0,7.17,384,943,0.193,0.262,0
"렌즈콩(렌틸콩), 인도산, 빨간색, 말린것",359,22.22,1.68,63.63,26,0,5.71,382,934,0.351,0.166,0
로얄제리,104,14.29,1.4,12.82,12,12,0.96,202,264,0.19,0.836,0
"로즈마리, 말린것",373,8.5,15.8,61.5,707,229,8.2,234,2659,0.34,1.37,102
"로카, 생것",17,2.6,0.2,2.5,80,92,3.2,46,295,0.1,0.2,23
"롱안, 말린것",286,4.9,0.4,74,45,48,5.4,196,658,0.04,0.5,28
"롱안, 생것",60,1.31,0.1,15.14,1,0,0.13,21,266,0.031,0.14,84
"루꼴라, 생것",25,2.58,0.66,3.65,160,27,1.46,52,369,0.044,0.086,15
"리마콩, 말린것",351,21.9,1.8,60.8,78,0,6.2,250,1800,0.47,0.16,0
"리마콩, 삶은것",152,9.6,0.9,26,27,0,2.3,95,490,0.1,0.04,0
"리치, 냉동",56,0.85,0.08,14.47,3,2,0.18,24,151,0.025,0.094,7.88
"리치, 생것",63,1,0.1,16.4,2,0,0.2,22,170,0.02,0.06,36
"리크, 데친것",28,1.3,0.1,6.8,26,2,0.6,26,180,0.05,0.07,9
"리크, 생것",54,1.8,0.3,13.2,20,4,0.1,205,380,0.05,0.05,41
"마, 단마, 생것",63,1.84,0.12,14.05,9,4,0.44,52,417,0.119,0.053,3.84
"마, 둥근마, 생것",152,3.56,0.98,33.24,10,3,0.65,76,570,0.161,0.016,8.76
"마, 장마, 삶은것",49,1.47,0.25,10.51,9,1,0.22,36,313,0.054,0.029,2.34
"마, 장마, 생것",45,1.56,0.28,9.55,15,3,0.22,44,374,0.053,0.031,1.42
마가린,714,0.2,72.41,12.06,20,296,0,9,23,0,0.01,0
"마가목 열매, 생것",115,1.3,0.8,25.5,2,0,0.1,4,0,0.02,0.01,2
마늘 장아찌,113,2.43,0.16,25.36,7,1127,0.37,29,69,0.043,0.025,0
마늘 페이스트,171,4.7,0.5,37,22,1800,0.7,100,440,0.11,0.04,0
"마늘, 가루 ",333,18.3,0.9,71.6,90,149,3.4,395,1035,0.48,0.16,7
"마늘, 깐마늘, 생것",123,7.45,0.16,26.42,12,3,0.78,156,531,0.145,0.161,8.45
"마늘, 난지형, 깐마늘, 생것",123,7.03,0.12,26.61,8,2,0.82,124,357,0.118,0.276,11.86
"마늘, 난지형, 데친것",133,7.84,0.13,28.59,8,1,0.85,137,367,0.13,0.602,11.86
"마늘, 데친것",130,8.04,0.13,27.69,13,3,0.76,165,503,0.148,0.325,8.12
"마늘, 동결건조",330,15.3,0.5,73.7,13,5,1.6,174,1852,0.48,0.24,32
"마늘, 말린것",333,16.3,0.7,73.3,18,7,6.5,182,1937,0.52,0.63,39
"마늘, 중국산, 깐마늘, 생것",120,6.99,0.99,22.78,13,14,0.79,143,562,0.162,0.088,12.07
"마늘, 통마늘, 구운것",163,10.04,0.22,34.6,16,4,1.29,229,690,0.153,0.338,9.36
"마늘, 한지형, 깐마늘, 생것",124,7.88,0.19,26.22,16,5,0.73,188,705,0.172,0.046,5.04
"마늘, 한지형, 데친것",127,8.25,0.14,26.77,17,5,0.67,194,640,0.166,0.047,4.38
"마늘, 한지형, 볶은것",159,9.84,1.35,31.31,20,6,0.92,244,753,0.21,0.08,4.07
"마늘, 한지형, 통마늘, 구운것",184,11.8,0.27,38.82,24,7,1.03,294,966,0.183,0.063,4.69
마늘종 장아찌,118,1.96,0.14,27.34,21,1410,0.61,19,105,0.026,0.023,0
"마늘종, 꽃줄기, 데친것",59,1.98,0.17,14.82,51,2,0.49,47,218,0.087,0.066,38.08
"마늘종, 꽃줄기, 생것",53,1.86,0.06,13.39,49,1,0.51,48,214,0.009,0.065,44.37
"마름, 생것",190,5.8,0.5,40.6,45,5,1.1,150,430,0.42,0.08,12
"마요네즈, 난황",702,1.2,75.6,4.2,17,450,0.3,33,20,0.02,0.05,0
"마요네즈, 전란",711,1.01,75.65,6.43,20,462,0.55,60,33,0.023,0.048,0
"마카다미아넛, 조미, 볶은것(기름)",720,8.3,76.7,12.2,47,190,1.3,140,300,0.21,0.09,0
"마타리, 생것",45,2.1,0.1,10.9,8,0,0.2,80,0,0.02,0.28,11
마파두부,114,7.6,6.9,5.4,77,346,14.4,99,114,0.15,0.07,0
"막걸리, 알코올 6%",54,0.98,0.15,1.56,8,3,0.06,15,14,0.01,0.034,0.18
막국수,109,3.8,1.1,20.9,22,273,8.3,44,97,0.12,0.15,0
"만가닥버섯, 생것",17,2.34,0.48,5.21,1,3,0.51,78,356,0.148,0.137,0
"만두, 고기 만두, 냉동",208,9.38,6.58,27.79,65,261,3.1,105,237,0.448,0.071,0
"만두, 군만두, 튀긴것",274,7,11.7,35.2,38,381,12.6,83,211,0.26,0.14,0
"만두, 김치 만두, 냉동",187,8.13,6.59,23.82,74,423,2.47,98,233,0.163,0.083,0
"만두, 물만두",131,5.6,5.1,15.6,28,239,5.5,64,113,0.55,0.08,0
만둣국,62,3.1,2.5,6.8,18,338,3.8,32,73,0.19,0.1,0
"만새기, 생것",108,21.3,1.9,0,13,50,0.7,250,480,0.2,0.15,1
"말고기, 생것",110,20.1,2.5,0.3,11,50,4.3,170,300,0.1,0.24,1
"맛, 붉은맛(큰죽합), 생것",95,16.1,1.8,2.5,64,0,12.5,254,0,0.02,0.2,2
맛술,146,0.3,0.3,35.5,1,32,0.3,13,13,0.19,0.05,8
망고 음료,28,0.04,0.01,7.71,4,9,0.02,1,11,0,0.003,13.77
"망고, 생것",61,0.72,0.1,15.97,7,0,0.18,17,142,0.035,0.054,14.85
"망고, 애플망고, 생것",57,0.54,1.14,12.56,8,0,0,12,148,1.96,0.02,37.6
"망고스틴, 생것",67,0.6,0.2,17.5,6,1,0.1,12,100,0.11,0.03,3
"망둥어(풀망둑), 생것",78,16.4,0.7,0.3,12,0,0.9,176,0,0.06,0.04,1
"매생이, 말린것",125,20.6,0.5,40.6,574,0,43.1,270,0,0,0,0
"매생이, 생것",39,3.88,3.29,8.19,91,104,18.3,97,263,0,0.03,0
매실 음료,55,0.1,0.2,13.1,1,5,0.3,7,2,0.01,0.06,4
"매실 절임, 염절임",33,0.9,0.2,10.5,65,8700,1,21,440,0.02,0.01,0
"매실, 생것",41,1.1,1.1,7.8,28,3,3.7,24,301,0.06,0.02,11
"매실, 선암매, 생것",39,1.2,0.7,8,13,1,0.7,21,341,0.06,0.04,6
"매실, 천매, 생것",37,0.7,0.6,8.1,8,2,0.6,14,225,0.04,0.03,5
매실주,156,0.1,0,20.7,1,4,0,3,39,0,0.01,0
매실청,215,0.21,0.21,53.06,3,1,0.13,6,91,0.063,0.03,0.28
"매퉁이, 생것",94,20.8,0.5,0.1,52,0,0.4,240,0,0.05,0.12,1
"맥주, 알코올 4.5%",46,0.21,0.01,3.27,2,2,0,14,28,0,0.024,0
"맥주, 흑맥주, 알코올 4.2%",46,0.4,0,3.6,3,3,0.1,33,55,0,0.04,0
머루 주스,81,0.3,0.2,21.8,4,0,0.6,63,0,0.01,0.01,7
"머루, 개량종, 껍질, 씨 포함, 생것",83,1.6,1.83,17.27,51,1,0.65,58,299,0,0.041,5.31
"머루, 머스켓베일리에이, 생것 ",76,0.34,0.75,18.96,4,0,0.17,14,189,0.041,0.017,2.03
"머루씨, 생것",282,6.3,4.8,54,301,3,3.7,169,466,0.08,0.09,8
"머위, 데친것",25,2.17,0.41,4.42,105,2,0.86,59,424,0,0.109,6.56
"머위, 말린것",281,17.4,3.7,58.2,1104,48,59.3,366,1114,0.39,3.17,6
"머위, 삶아서 말린것",278,26.73,4.67,48.62,1253,46,14.43,608,3552,0.413,1.072,0.61
"머위, 삶은것",28,2.44,0.44,5.2,121,5,0.99,54,325,0,0.099,5.32
"머위, 생것",17,2.31,0.14,2.74,103,2,1.05,50,530,0.01,0.084,2.46
"멍게, 끈멍게, 생것",64,7.4,1.5,5,38,0,2.4,90,0,0.03,0.16,2
"멍게, 붉은멍게, 생것",77,9.2,2.6,3.7,37,0,1.8,144,0,0.08,0.12,2
"멍게, 생것",79,7.3,2,7.8,89,0,1.7,84,0,0.05,0.2,2
"멍게, 양식, 생것",75,8.7,2.1,4.9,36,1300,6.9,103,570,0.03,0.15,3
"멍게젓, 염절임",139,9.25,1.19,22.95,41,1712,1.77,93,232,0.039,0.158,0
"메기, 물메기, 생것",79,16.4,0.9,0.1,36,0,1,137,0,0.08,0.08,0
"메기, 붉은메기, 생것",84,18.2,0.7,0,38,0,1,147,0,0.14,0.11,1
"메기, 생것",113,15.1,5.3,0.1,26,46,0.8,190,320,0.2,0.07,1
"메밀 국수, 말린것",372,13.58,1.27,74.41,28,707,2.54,173,198,0.119,0.12,1.07
"메밀 국수, 말린것, 삶은것",114,4.28,0.4,22.65,12,35,0.87,47,9,0.021,0.026,0.18
"메밀 국수, 생것",291,7.59,0.96,61.14,13,455,0.59,64,116,0.015,0.05,0
"메밀 국수, 생것, 삶은것",124,3.54,0.44,25.73,7,38,0.28,21,7,0.009,0.018,0
"메밀 냉면 육수, 인스턴트",174,0.83,0.05,42.58,7,5935,0.07,8,115,0,0.251,0
"메밀 냉면, 말린것",360,10.74,1.44,73.66,27,628,1.36,109,176,0.021,0.16,0
"메밀 냉면, 말린것, 삶은것",141,4.22,0.59,28.71,18,68,0.56,40,17,0.019,0.047,0
"메밀, 도정, 가루",374,12.96,3.29,71.36,17,1,2.92,435,432,0.341,0.274,0
"메밀, 도정, 생것",363,13.64,3.38,67.84,21,1,2.78,453,444,0.458,0.255,0
"메밀, 싹, 생것",24,1.9,1.2,1.9,11,4,0.9,49,106,0.29,0.15,1
메밀묵,58,0.86,0.23,12.8,7,120,1.45,24,38,0.016,0.02,0
"메밀묵, 가루",371,8.33,2.04,77.39,21,2,1.84,289,287,0.197,0.148,0.34
"메추리고기, 생것",208,20.5,12.9,0.1,15,35,2.9,100,280,0.12,0.5,0
"메추리알, 삶은것",155,12.48,10.12,1.67,61,94,2.63,219,107,0.172,0.31,0
"메추리알, 생것",146,12.8,9.02,1.66,59,137,2.49,222,154,0.237,0.403,0
"멜론, 감로, 생것",21,0.5,0.1,5.1,9,13,0.4,8,137,0.05,0.01,0
"멜론, 머스크, 생것",40,1.5,0.04,9.64,7,13,0.34,19,374,0.032,0.033,2.02
"멜론, 화이트, 생것",38,0.7,0.1,9.6,3,10,0.5,21,290,0.03,0.01,15
멥쌀 과자,469,3.2,15.9,78.2,4,224,0.9,32,11,0.13,0.05,0
"멥쌀 과자, 쌀엿강정, 팽화",395,4.11,2.13,89.96,8,4,0.18,55,63,0,0.032,0
"멥쌀 과자, 튀밥, 팽화",393,8.7,3.9,80.7,5,74,1,228,278,0.16,0.04,0
"멥쌀 국수, 말린것",340,9.1,1.5,72.6,27,1964,1,254,405,0.41,0.06,0
"멥쌀, 고아미2호, 백미, 생것",379,8.9,2.7,76.4,4,21,3,210,236,0.19,0.06,0
"멥쌀, 고아미2호, 현미, 생것",374,9.6,4.6,73.3,4,26,2.8,327,396,0.26,0.11,0
"멥쌀, 골든퀸3호, 백미, 생것",354,6.07,0.67,77.27,4,3,0.25,91,73,0.069,0.028,0
"멥쌀, 골든퀸3호, 현미, 생것",356,6.16,2.01,77.24,9,1,0.91,270,232,0.295,0.067,0
"멥쌀, 농림나1호, 칠분도미, 생것",370,5.6,1.9,79.2,32,9,0,226,298,0.43,0.05,0
"멥쌀, 농림나1호, 현미, 생것",371,5.8,4.8,75.3,14,1,0.8,305,275,0.54,0.06,0
"멥쌀, 미국산, 백미, 생것",365,5.7,0.2,81.2,1,2,1.2,33,67,0.07,0.02,0
"멥쌀, 발아현미, 현미, 생것",371,7,2.3,79.4,8,3,3.3,233,128,0.25,0.06,0
"멥쌀, 밭벼, 백미, 생것",357,9.3,0.9,74.5,5,1,0.8,95,89,0.08,0.02,0
"멥쌀, 밭벼, 칠분도미, 생것",358,9.5,1.5,73.4,6,1,1.3,180,120,0.24,0.03,0
"멥쌀, 배아미, 생것",357,6.5,2,75.8,7,1,0.9,150,150,0.23,0.03,0
"멥쌀, 백미, 가루 ",362,6.2,0.9,78.5,5,2,0.8,96,89,0.09,0.02,0
"멥쌀, 백미, 생것",363,6.4,0.4,79.5,7,8,1.3,87,170,0.23,0.02,0
"멥쌀, 새추청벼, 백미, 생것",366,6.1,0.2,80.9,4,8,3.8,46,469,0.12,0.02,0
"멥쌀, 수라벼, 백미, 생것",346,5.7,0.1,76.7,6,17,0.8,74,160,0.12,0.03,0
"멥쌀, 일미벼, 백미, 생것",372,7.7,1,79.3,12,11,1.1,95,114,0.19,0.03,0
"멥쌀, 일미벼, 현미, 생것",354,9,1,76.2,10,12,1.7,248,289,0.35,0.06,0
"멥쌀, 일본산, 백미, 생것",367,5,0.4,81.8,1,2,1,39,74,0.13,0.03,0
"멥쌀, 일품벼, 백미, 생것",353,5.7,0.1,78.5,6,5,1.4,77,92,0.14,0.02,0
"멥쌀, 일품벼, 현미, 생것",363,7.4,2,77.8,3,24,1.5,262,269,0.28,0.05,0
"멥쌀, 중국산, 백미, 생것",361,6.7,0.4,78.9,1,2,1.6,44,94,0.14,0.04,0
"멥쌀, 추청벼, 백미, 생것",373,6.7,0.6,81.4,8,3,0.4,131,107,0.45,0.02,0
"멥쌀, 추청벼, 현미, 생것",362,6.4,2.7,76.9,12,14,1.1,92,263,0.3,0.04,0
"멥쌀, 칠분도미, 생것",368,6.9,1.1,79.1,24,2,0.9,179,170,0.19,0.05,0
"멥쌀, 큰눈벼, 백미, 생것",375,6.3,1,81.4,3,19,1.1,146,144,0.11,0.03,0
"멥쌀, 큰눈벼, 현미, 생것",371,7.3,3,77.9,3,23,1.5,278,295,0.27,0.06,0
"멥쌀, 태국산, 백미, 생것",366,7,0.2,80.1,1,2,1.6,38,101,0.07,0.03,0
