DISEASE
산후조리
미용
중풍
배변
쇠약
위장염
이뇨효
불능
골다공증
하혈
불임
보양음식
붓기
신체
두드러기
위경련
성인병
독성
보양식
갱년기
사망
고름
불면증
풍
신경통
성교
전립선암
류머티즘
독소
설사
암내
항염
트러블
바이러스
발암
부기
혈뇨
암
배합
요로결석
박하
고환
신장
비장
입냄새
편도선염
담
땀
불안
혈증
새살
에스트로겐
혈변
머리
실명
몽정
월경
난
치매
정력
증세
수면
혈압
조직
출혈
구역질
술독
기운
소화
냉
심장병
사마귀
숙취
정화
냉증
빈혈
과로
보강
감기
항암
지혈
노폐물
시력
스트레스
가래
진통
지방간
뾰루지
화병
유방암
간염
잡티
저혈압
염증
입
장염
변통
미네랄
결석
혈당
복통
치질
알콜
어지럼증
청력
피로
가스
비만
혈전
번열
독
보혈
주근깨
토사
소변
메스꺼움
활성화
배탈
장애
파르메산
폐
해열
방광염
대하증
신진대사
알러지
응어리
조혈
자양강장제
지방조직
소화액
난소
음경
생리
불그스름
땀띠
고혈압
배설
궤양
호르몬
