FOOD,ENERGY,CARBOHYDRATE,PROTEIN,FAT,CHOLESTEROL,FIBER,SODIUM
낙지볶음,90,10.8,6.9,3,42.8,0.8,807
냉이,9,1.6,1.4,0.2,0,0.5,5
냉이된장국,43,5.1,4.6,1.1,2.9,0.8,891
넙치(광어),52,0.2,10.2,0.9,35.5,0,80
녹두,151,27.9,10,0.7,0,2.1,1
녹두묵,11,0,0,0,0,0,5
녹두빈대떡,198.4,21.8,9,8.8,7.9,1,591
녹차,2,0.3,0,0,0,0,8
녹차음료,2,0.4,0,0,0,0,9
누룽지,109.7,24.3,1.8,0.1,0,0.1,2
느타리버섯,6,1.5,0.7,0,0,0.2,1
느타리버섯볶음,24,2.7,0.9,1.4,0.1,0.3,217
늙은호박,16,4.5,0.5,0.1,0,0.5,1
다랑어(냉동),34,0,7.4,0.3,15,0,12
다랑어(통조림),59,0,3.6,4.7,7.6,0,87
다시마,3,1.5,0.4,0.1,0,0.2,194
다시마(말린것),1,0.5,0.1,0,0,0,31
다시마튀각,68,7.2,1.2,4.1,0,0.6,360
단무지,2,0.7,0.1,0,0,0.2,224
단팥빵,249,44.6,6.5,5.2,3.4,0.8,143
달걀,55,1.1,4.7,3.3,188,0,61
달걀국,73,3.5,6.1,3.7,199,0.1,532
달걀말이,74.2,2,4.9,5,191.5,0.1,305
달걀부침(달걀후라이),73.3,1.3,5.3,5,210.7,0,121
달걀찜,50.3,1.2,4.3,3,168.6,0,305
달래,3,0.6,0.3,0,0,0.1,1
달래된장찌개,30,2.9,2.7,1.2,0,0.3,448
달래무침,32,3,1.1,2.2,0,0.5,61
닭개장,141.1,5.9,13.1,7.8,92.6,1.1,573
닭고기,171,0.9,18.1,10.1,71.3,0,63
닭고기(가슴),198,0.6,17.9,12.9,74.1,0,55
"닭고기(가슴,껍질제거)",97,1.1,22.1,0.4,71.3,0,39
닭고기(날개),210,0.8,16.6,14.4,110.2,0,65
닭고기(다리),120,0.8,17.3,4.1,78.9,0,109
"닭고기(다리,껍질제거)",114,0.9,19.1,3.6,89.3,0,82
닭도리탕,201,12.2,17.1,9.7,74.2,0.7,544
닭볶음(닭갈비),322.7,20.7,23.4,16.8,102.9,1,913
닭양념튀김,335.2,21.4,20.2,19,136.4,0.8,339
닭죽,526.3,67.2,45.4,7.7,131.4,0.9,363
닭찜,254.3,15.4,22.3,11.7,95.6,0.6,500
닭튀김,328.4,7.4,24.9,21.3,163.8,0,662
당근,3,0.7,0.1,0,0,0.1,2
당면,70,17.2,0,0,0,0,1
대구,72,0.2,15.8,0.5,60.3,0,107
대구매운탕,119,9.1,18.2,2.3,53.6,1.5,485
대두,57,4.7,5.3,2.7,0,0.7,0
대추(건과),12,2.9,0.2,0.1,0,0.1,0
더덕,11,2.5,0.8,0.1,0,0.3,1
더덕무침,31,6.1,1.4,0.7,0,0.6,198
도라지,29,7.2,0.7,0.1,0,0.5,7
도라지나물,62,8.8,1,3.1,0,0.6,175
도라지생채,41,9.5,1.2,0.6,0,0.7,264
도우넛(링),309,30.5,5.5,19.5,82.5,0.2,270
